name,url,gridsize,colour,divclasses
Compass,https://mhs.vic.jdlf.com.au,1-1,green,
MHS Connect,http://connect.mhs.vic.edu.au/,1-1,green,
MHS Portal,http://domain.mhs.vic.edu.au/,1-1,green,
,,,,
Emails,emails/,1-2,lightblue,
Faculties,faculties/,1-2,lightblue,
,,,,
Webmail,https://webmail.netspace.net.au/,1-2,blue,
Mail Setup,http://pdrew.me/MHS/mailprofile.html,1-2,blue,
