name,url,type,colour
English,http://resources.mhs.vic.edu.au/english/,Pages,blue
Science,http://resources.mhs.vic.edu.au/science/,Pages,blue
Physics,http://physicsatmhs.com/,Pages,blue
Maths,http://domain.mhs.vic.edu.au/Student/Faculties/Maths,Portal,green
Chemistry,http://domain.mhs.vic.edu.au/Student/Faculties/Chemistry,Portal,green
Biology,http://domain.mhs.vic.edu.au/Student/Faculties/Biology,Portal,green
